referenceNumber,method,title,authorizedBy,authorizationDate,authorizationNote,startSingleDate,endDate,user,,note,provisos,,,,result
UOC2001.001,class,"Use of Collections Title 1","Angie Millson",2000/01/01,"Authorization note text.",2000/02/01,2000/03/01,"Turi Berrones; Elbertina Lana","Exhibition organizer","UOC note text.","UOC provisos text.","Center for Contemporary Candian Art",,,"Result text."
UOC2002.001,exhibition,"Use of Collections Title 2","Dianna Fella",2001/01/01,"Authorization note text.",2001/02/01,2001/03/01,"Placido Claros; Lucena Medina",Faculty,"UOC note text.","UOC provisos text.","American Museum of Natural History",,,"Result text."
UOC2003.001,publication,"Use of Collections Title 3","Selina Hardison",2002/01/01,"Authorization note text.",2002/02/01,2002/03/01,"Kesara Nieto; Daumants Bizkalns",Lecturer,"UOC note text.","UOC provisos text.","Art Institute of Chicago",,,"Result text."
UOC2004.001,research,"Use of Collections Title 4","Sandy Pound",2003/01/01,"Authorization note text.",2003/02/01,2003/03/01,"Modesta Marciel; Maigonis Baltgailis",Presenter,"UOC note text.","UOC provisos text.",,Melbourne,,"Result text."
UOC2005.001,class,"Use of Collections Title 5","Franco Borge",2004/01/01,"Authorization note text.",2004/02/01,2004/03/01,"Xuxa Mazon",Publisher,"UOC note text.","UOC provisos text.",,"South Tarawa",,"Result text."
UOC2006.001,exhibition,"Use of Collections Title 6","Carlos Guajardo",2005/01/01,"Authorization note text.",2005/02/01,2005/03/01,"Cristina Porto",Researcher,"UOC note text.","UOC provisos text.",,"Betio Village",,"Result text."
UOC2007.001,publication,"Use of Collections Title 7","Santos Rincon",2006/01/01,"Authorization note text.",2006/02/01,2006/03/01,"Neiva Silguero","Exhibition organizer","UOC note text.","UOC provisos text.",,,"A:Room 1","Result text."
UOC2008.001,research,"Use of Collections Title 8","Kadmos Painter",2007/01/01,"Authorization note text.",2007/02/01,2007/03/01,"Xiomara Monzon",Faculty,"UOC note text.","UOC provisos text.",,,"A:R1:Unit 2","Result text."
UOC2009.001,class,"Use of Collections Title 9","Joaquin Celestino",2008/01/01,"Authorization note text.",2008/02/01,2008/03/01,"Madre Paulino",Lecturer,"UOC note text.","UOC provisos text.",,,"A:R1:Unit 3","Result text."
UOC2010.001,exhibition,"Use of Collections Title 10","Rico Galindez",2009/01/01,"Authorization note text.",2009/02/01,2009/03/01,"Ernesta Mateos",Presenter,"UOC note text.","UOC provisos text.",,,"A:Room 2","Result text."
